Departamentoderesidencia,Total,Soltera,Casada,Unida,Ignorado
Guatemala,"59,563","35,636","23,880",5,42
ElProgreso,"3,709","2,475","1,229",4,1
Sacatepéquez,"6,341","3,407","2,930",1,3
Chimaltenango,"15,192","6,031","9,155",2,4
Escuintla,"15,437","10,415","4,996",19,7
SantaRosa,"8,024","5,565","2,450",5,4
Sololá,"10,021","5,337","4,630",51,3
Totonicapán,"12,507","5,650","6,846",6,5
Quetzaltenango,"19,461","10,949","8,468",38,6
Suchitepéquez,"13,252","7,189","6,057",1,5
Retalhuleu,"7,752","4,311","3,435",3,3
SanMarcos,"27,460","18,364","9,040",47,9
Huehuetenango,"36,881","25,562","11,312",-,7
Quiché,"29,288","17,092","12,176",4,16
BajaVerapaz,"7,831","4,331","3,497",1,2
AltaVerapaz,"34,614","21,170","13,399",40,5
Petén,"14,851","10,777","3,837",236,1
Izabal,"9,393","7,009","2,375",1,8
Zacapa,"5,460","3,860","1,595",2,3
Chiquimula,"10,123","6,868","3,227",13,15
Jalapa,"8,931","6,216","2,715",-,-
Jutiapa,"10,357","6,536","3,798",20,3
Extranjero,339,226,50,-,63
Ignorado,68,30,-,-,38
