Departamentoderesidencia,Total,Soltera,Casada,Unida,Ignorado
Guatemala,"58,906","27,439","31,343",55,69
ElProgreso,"3,814","1,553","2,243",13,5
Sacatepéquez,"6,708","3,825","2,874",5,4
Chimaltenango,"14,482","9,898","4,566",11,7
Escuintla,"14,552","4,993","9,437",67,55
SantaRosa,"8,181","2,871","5,278",18,14
Sololá,"9,511","4,854","4,551",95,11
Totonicapán,"11,410","6,836","4,495",65,14
Quetzaltenango,"18,653","8,852","9,736",38,27
Suchitepéquez,"12,771","6,247","6,419",15,90
Retalhuleu,"7,297","3,477","3,798",10,12
SanMarcos,"27,590","10,072","16,822",539,157
Huehuetenango,"32,782","12,145","20,438",111,88
Quiché,"26,849","13,151","13,491",156,51
BajaVerapaz,"7,218","4,099","3,100",13,6
AltaVerapaz,"32,925","17,876","14,869",140,4
Petén,"13,632","4,282","8,636",702,12
Izabal,"8,956","2,850","6,080",14,12
Zacapa,"5,626","1,780","3,835",4,7
Chiquimula,"10,181","4,082","6,058",28,13
Jalapa,"8,270","3,552","4,712",4,2
Jutiapa,"10,809","4,557","6,211",27,14
Extranjero,129,21,106,1,1
Ignorado,376,10,317,-,4
