Departamentoderesidencia,Total,Soltera,Casada,Unida,Ignorado
Guatemala,"51,191","31,075","20,084",5,27
ElProgreso,"3,405","2,346","1,053",6,-
Sacatepéquez,"5,813","3,149","2,663",-,1
Chimaltenango,"14,151","5,606","8,541",3,1
Escuintla,"14,189","9,625","4,538",18,8
SantaRosa,"7,509","5,330","2,175",4,-
Sololá,"9,602","5,100","4,473",28,1
Totonicapán,"12,128","5,608","6,510",10,-
Quetzaltenango,"17,875","9,931","7,911",26,7
Suchitepéquez,"12,264","6,789","5,469",-,6
Retalhuleu,"6,908","3,889","3,015",2,2
SanMarcos,"26,241","17,790","8,413",27,11
Huehuetenango,"35,558","25,358","10,194",1,5
Quiché,"29,303","17,570","11,724",3,6
BajaVerapaz,"7,458","4,288","3,169",1,-
AltaVerapaz,"33,326","20,521","12,768",27,10
Petén,"14,095","10,207","3,739",146,3
Izabal,"9,089","6,887","2,196",-,6
Zacapa,"5,376","3,882","1,489",2,3
Chiquimula,"10,388","7,331","3,043",8,6
Jalapa,"8,707","6,272","2,434",1,-
Jutiapa,"10,170","6,595","3,557",18,-
Extranjero,328,250,40,-,38
Ignorado,75,13,1,-,61
