Departamentoderesidencia,Total,Soltera,Casada,Unida,Ignorado
Guatemala,"54,807","33,166","21,606",8,27
ElProgreso,"3,560","2,390","1,167",3,-
Sacatepéquez,"6,064","3,287","2,776",-,1
Chimaltenango,"14,090","5,633","8,451",4,2
Escuintla,"14,102","9,486","4,590",15,11
SantaRosa,"7,696","5,336","2,354",3,3
Sololá,"9,373","5,028","4,318",25,2
Totonicapán,"11,838","5,426","6,400",9,3
Quetzaltenango,"17,911","10,082","7,803",23,3
Suchitepéquez,"12,066","6,655","5,408",1,2
Retalhuleu,"7,075","3,971","3,097",4,3
SanMarcos,"26,191","17,504","8,642",37,8
Huehuetenango,"33,839","23,715","10,114",1,9
Quiché,"28,045","16,602","11,435",2,6
BajaVerapaz,"7,274","4,182","3,089",3,-
AltaVerapaz,"31,582","19,675","11,873",28,6
Petén,"13,358","9,717","3,487",149,5
Izabal,"8,919","6,678","2,236",2,3
Zacapa,"5,000","3,565","1,431",1,3
Chiquimula,"9,693","6,671","2,999",10,13
Jalapa,"8,457","5,945","2,508",3,1
Jutiapa,"9,936","6,330","3,590",13,3
Extranjero,223,151,48,-,24
Ignorado,113,25,14,-,74
