Departamentoderesidencia,Total,Soltera,Casada,Unida,Ignorado
Guatemala,"64,735","39,168","25,529",6,32
ElProgreso,"3,920","2,607","1,310",3,-
Sacatepéquez,"6,545","3,445","3,098",-,2
Chimaltenango,"15,540","5,933","9,603",2,2
Escuintla,"16,321","11,037","5,259",19,6
SantaRosa,"8,228","5,703","2,520",5,-
Sololá,"10,168","5,464","4,647",57,-
Totonicapán,"12,945","5,755","7,173",14,3
Quetzaltenango,"20,050","11,294","8,716",37,3
Suchitepéquez,"13,623","7,495","6,124",2,2
Retalhuleu,"8,236","4,497","3,733",5,1
SanMarcos,"29,426","19,623","9,767",28,8
Huehuetenango,"38,156","26,244","11,905",-,7
Quiché,"30,168","17,272","12,893",2,1
BajaVerapaz,"8,030","4,326","3,701",1,2
AltaVerapaz,"34,819","20,963","13,823",32,1
Petén,"15,427","11,212","3,920",293,2
Izabal,"10,130","7,340","2,780",-,10
Zacapa,"5,835","4,078","1,752",1,4
Chiquimula,"10,698","7,231","3,430",20,17
Jalapa,"9,305","6,439","2,861",1,4
Jutiapa,"10,536","6,623","3,893",17,3
Extranjero,339,260,35,-,44
Ignorado,83,16,-,-,67
