Departamentoderesidencia,Total,Soltera,Casada,Unida,Ignorado
Guatemala,"67,471","39,146","28,292",18,15
ElProgreso,"4,057","2,588","1,468",-,1
Sacatepéquez,"7,292","3,466","3,824",1,1
Chimaltenango,"16,042","5,557","10,479",5,1
Escuintla,"16,830","11,077","5,744",4,5
SantaRosa,"8,834","5,884","2,944",4,2
Sololá,"10,507","5,285","5,138",83,1
Totonicapán,"12,443","4,967","7,456",19,1
Quetzaltenango,"20,838","11,162","9,619",53,4
Suchitepéquez,"13,818","7,078","6,737",1,2
Retalhuleu,"8,510","4,561","3,940",8,1
SanMarcos,"30,832","19,584","11,158",79,11
Huehuetenango,"38,669","24,912","13,747",-,10
Quiché,"29,490","15,623","13,857",6,4
BajaVerapaz,"7,953","3,924","4,025",2,2
AltaVerapaz,"34,605","18,435","16,099",69,2
Petén,"15,111","10,441","4,236",434,-
Izabal,"10,326","7,337","2,980",6,3
Zacapa,"6,115","4,144","1,970",1,-
Chiquimula,"10,967","6,923","4,017",26,1
Jalapa,"9,340","6,019","3,320",1,-
Jutiapa,"11,239","6,748","4,453",35,3
Extranjero,107,89,17,-,1
Ignorado,29,17,1,-,11
