Departamentoderesidencia,Total,Soltera,Casada,Unida,Ignorado
Guatemala,"65,920","38,664","27,209",21,26
ElProgreso,"4,202","2,676","1,524",2,-
Sacatepéquez,"7,004","3,329","3,673",1,1
Chimaltenango,"15,755","5,380","10,374",1,-
Escuintla,"16,401","10,974","5,414",3,10
SantaRosa,"9,478","6,341","3,122",14,1
Sololá,"10,051","5,072","4,879",98,2
Totonicapán,"12,239","4,866","7,348",23,2
Quetzaltenango,"20,265","10,839","9,360",61,5
Suchitepéquez,"13,920","7,116","6,797",5,2
Retalhuleu,"8,158","4,323","3,821",13,1
SanMarcos,"30,193","19,150","10,925",111,7
Huehuetenango,"37,732","23,992","13,726",2,12
Quiché,"29,359","15,489","13,861",7,2
BajaVerapaz,"7,889","3,691","4,191",5,2
AltaVerapaz,"34,119","17,305","16,724",87,3
Petén,"15,510","10,455","4,421",630,4
Izabal,"10,404","7,367","3,024",13,-
Zacapa,"6,132","4,150","1,979",1,2
Chiquimula,"10,954","6,753","4,169",29,3
Jalapa,"9,556","5,975","3,577",2,2
Jutiapa,"11,836","7,024","4,780",28,4
Extranjero,225,206,12,-,7
Ignorado,40,8,-,-,32
