Departamentoderesidencia,Total,Soltera,Casada,Unida,Ignorado
Guatemala,"67,192","39,509","27,664",10,9
ElProgreso,"4,044","2,618","1,423",3,-
Sacatepéquez,"6,734","3,337","3,396",-,1
Chimaltenango,"16,563","5,792","10,769",-,2
Escuintla,"16,266","10,787","5,469",2,8
SantaRosa,"9,063","6,141","2,912",9,1
Sololá,"10,351","5,304","4,949",97,1
Totonicapán,"13,113","5,378","7,712",22,1
Quetzaltenango,"20,774","11,129","9,580",59,6
Suchitepéquez,"13,349","6,935","6,407",1,6
Retalhuleu,"8,144","4,395","3,744",4,1
SanMarcos,"31,880","20,443","11,361",67,9
Huehuetenango,"38,078","24,642","13,431",-,5
Quiché,"29,490","15,825","13,654",9,2
BajaVerapaz,"8,187","4,076","4,109",1,1
AltaVerapaz,"34,340","18,765","15,510",63,2
Petén,"15,474","10,716","4,339",417,2
Izabal,"9,800","7,053","2,731",3,13
Zacapa,"5,443","3,723","1,716",1,3
Chiquimula,"11,375","7,329","4,015",28,3
Jalapa,"9,303","6,108","3,195",-,-
Jutiapa,"11,246","6,866","4,348",30,2
Extranjero,130,110,14,-,6
Ignorado,43,12,-,-,31
