Departamentoderesidencia,Total,Soltera,Casada,Unida,Ignorado
Guatemala,"59,021","32,557","26,349",60,55
ElProgreso,"3,761","2,298","1,450",11,2
Sacatepéquez,"6,697","2,975","3,718",3,1
Chimaltenango,"14,998","5,377","9,612",1,8
Escuintla,"14,342","9,598","4,613",15,116
SantaRosa,"8,253","5,428","2,813",4,8
Sololá,"9,413","4,671","4,639",102,1
Totonicapán,"11,400","4,463","6,876",54,7
Quetzaltenango,"19,004","10,372","8,568",46,18
Suchitepéquez,"12,947","6,703","6,227",6,11
Retalhuleu,"7,418","4,127","3,271",11,9
SanMarcos,"29,322","18,845","10,317",137,23
Huehuetenango,"36,390","23,230","13,101",42,17
Quiché,"27,795","14,473","13,241",48,33
BajaVerapaz,"7,628","3,394","4,226",1,7
AltaVerapaz,"33,501","16,470","16,884",105,42
Petén,"14,147","9,522","3,914",698,13
Izabal,"9,878","6,897","2,966",9,6
Zacapa,"5,648","3,840","1,803",2,3
Chiquimula,"10,400","6,231","4,139",24,6
Jalapa,"8,548","5,198","3,343",-,7
Jutiapa,"11,134","6,560","4,538",24,12
Extranjero,113,96,16,-,1
Ignorado,148,111,20,-,17
