Departamentoderesidencia,Total,Soltera,Casada,Unida,Ignorado
Guatemala,"66,407","39,829","26,552",13,13
ElProgreso,"3,990","2,664","1,324",2,-
Sacatepéquez,"6,631","3,492","3,137",1,1
Chimaltenango,"15,824","6,101","9,718",1,4
Escuintla,"16,249","11,023","5,200",19,7
SantaRosa,"8,464","5,817","2,638",7,2
Sololá,"10,209","5,398","4,740",70,1
Totonicapán,"12,744","5,679","7,050",15,-
Quetzaltenango,"20,248","11,290","8,919",32,7
Suchitepéquez,"13,549","7,285","6,259",1,4
Retalhuleu,"8,115","4,549","3,561",5,-
SanMarcos,"30,133","20,082","9,983",61,7
Huehuetenango,"37,607","25,372","12,231",-,4
Quiché,"28,651","15,940","12,703",7,1
BajaVerapaz,"7,912","4,227","3,685",-,-
AltaVerapaz,"33,966","19,541","14,369",53,3
Petén,"14,808","10,687","3,786",334,1
Izabal,"9,789","7,197","2,583",2,7
Zacapa,"5,885","4,046","1,834",2,3
Chiquimula,"10,495","6,890","3,580",16,9
Jalapa,"8,972","6,034","2,937",1,-
Jutiapa,"10,748","6,784","3,941",20,3
Extranjero,194,154,21,-,19
Ignorado,74,19,2,-,53
