Departamentoderesidencia,Total,Soltera,Casada,Unida,Ignorado
Guatemala,"66,836","38,951","27,866",12,7
ElProgreso,"4,238","2,686","1,551",-,1
Sacatepéquez,"6,965","3,414","3,547",2,2
Chimaltenango,"15,685","5,356","10,324",5,-
Escuintla,"16,976","11,379","5,587",8,2
SantaRosa,"9,168","6,169","2,989",9,1
Sololá,"10,033","5,100","4,815",118,-
Totonicapán,"12,200","4,795","7,373",30,2
Quetzaltenango,"20,518","11,105","9,358",50,5
Suchitepéquez,"13,885","7,130","6,744",11,-
Retalhuleu,"8,321","4,518","3,784",19,-
SanMarcos,"30,366","19,349","10,913",96,8
Huehuetenango,"37,843","24,422","13,416",1,4
Quiché,"28,993","15,304","13,673",14,2
BajaVerapaz,"7,941","3,850","4,091",-,-
AltaVerapaz,"33,111","17,139","15,885",86,1
Petén,"15,377","10,655","4,153",567,2
Izabal,"10,140","7,280","2,853",5,2
Zacapa,"5,984","4,104","1,878",2,-
Chiquimula,"10,770","6,792","3,948",28,2
Jalapa,"9,448","6,002","3,443",2,1
Jutiapa,"11,186","6,629","4,528",27,2
Extranjero,155,132,19,-,4
Ignorado,56,25,-,-,31
