Departamentoderesidencia,Total,Soltera,Casada,Unida,Ignorado
Guatemala,"64,478","37,298","27,121",28,31
ElProgreso,"4,042","2,565","1,475",2,-
Sacatepéquez,"6,988","3,277","3,704",4,3
Chimaltenango,"15,868","5,475","10,380",2,11
Escuintla,"16,454","11,173","5,259",8,14
SantaRosa,"9,601","6,277","3,310",13,1
Sololá,"9,871","5,018","4,691",162,-
Totonicapán,"12,195","4,877","7,281",37,-
Quetzaltenango,"21,031","11,463","9,486",77,5
Suchitepéquez,"14,147","7,305","6,835",4,3
Retalhuleu,"8,207","4,431","3,755",20,1
SanMarcos,"30,389","19,330","10,923",130,6
Huehuetenango,"38,477","24,644","13,816",6,11
Quiché,"29,590","15,585","13,993",7,5
BajaVerapaz,"7,951","3,559","4,388",3,1
AltaVerapaz,"34,986","17,211","17,640",108,27
Petén,"15,353","10,378","4,247",725,3
Izabal,"10,122","7,097","3,014",10,1
Zacapa,"6,129","4,120","2,003",4,2
Chiquimula,"11,488","7,075","4,380",29,4
Jalapa,"9,284","5,780","3,501",2,1
Jutiapa,"11,789","6,962","4,796",27,4
Extranjero,139,122,17,-,-
Ignorado,34,14,-,-,20
